region;Prix;Surface(m2);Proximiteplage;TitreFoncier;EauDisponible;electricite;Cloture;NbArbres;TypedeCulture;Irrigation;batiment;route
Chatt Meriem;600000.0;2000.0;0;0;0;0;0;0;0;0;0;0
Le Kef;160000.0;160000.0;0;0;0;0;0;0;0;0;0;0
Dar Allouche;730400.0;913.0;1;1;0;0;0;0;0;0;0;0
Kelibia;2132500.0;853.0;1;1;0;0;0;0;0;0;0;0
Chatt Meriem;1195000.0;23900.0;0;0;0;0;0;0;1;0;0;0
Bou Achir;450000.0;450.0;0;0;0;0;0;0;0;0;0;1
Chatt Meriem;164700.0;2353.0;0;0;0;0;0;0;0;0;0;0
Kalaa El Kebira;450000.0;7520.0;0;0;0;0;1;100;1;0;0;0
Rtiba;460000.0;220.0;0;0;0;0;1;0;0;0;0;0
Kalaa El Kebira;650000.0;30350.0;0;0;0;0;1;300;1;0;0;0
Dar Allouche;792000.0;990.0;0;1;0;0;0;0;0;0;0;0
Kelibia;90000.0;1000.0;1;1;0;0;0;0;0;0;0;0
Hammam El Gheza;180000.0;10000.0;1;1;0;0;0;0;0;0;0;0
El Haouaria;970000.0;970.0;1;1;0;0;0;0;0;0;0;0
Kalaa El Kebira;400000.0;11000.0;0;0;0;0;1;0;1;0;0;0
Dar Allouche;672000.0;840.0;1;1;0;0;0;0;0;0;0;0
Kelibia;1735000.0;694.0;1;1;0;0;0;0;0;0;0;0
Tamazrat;1500000.0;3000.0;0;1;0;0;0;0;0;0;0;0
Menzel Bouzelfa;600000.0;240000.0;0;0;0;0;0;750;0;0;0;0
Ezzahra;967500.0;645.0;1;1;0;0;0;0;0;0;0;0
Hammamet;225000.0;225.0;0;0;0;0;0;0;0;0;0;0
Ezzahra;180000.0;10000.0;1;1;0;0;0;0;0;0;0;0
Dar Allouche;63000.0;1000.0;0;1;0;0;0;0;0;0;0;0
Echabiba;1750000.0;2500000.0;0;0;0;1;0;0;0;0;0;0
Dar Allouche;920000.0;1150.0;0;1;0;0;0;0;0;0;0;0
Hammam Jebli;1586000.0;1220.0;1;1;0;0;0;0;0;0;0;0
Ezzahra;63000.0;1000.0;0;1;0;0;0;0;0;0;0;0
Somaa;90000.0;3000.0;0;0;0;0;0;0;1;0;0;0
Kelibia;90000.0;1000.0;1;1;0;0;0;0;0;0;0;0
Hammam Jebli;1690000.0;1300.0;1;1;0;0;0;0;0;0;0;0
Hammam El Gheza;1819000.0;1070.0;1;1;0;0;0;0;0;0;0;0
Hammam El Gheza;63000.0;1000.0;0;1;0;0;0;0;0;0;0;0
Mornag;1650000.0;80000.0;0;0;0;0;1;0;0;0;0;0
Bir Mcherga Gar;1750000.0;320000.0;0;0;0;0;0;0;0;0;1;1
Zaghouan;650000.0;250000.0;0;0;0;0;0;0;0;0;1;1
Hammam El Gheza;1411000.0;830.0;0;1;0;0;0;0;0;0;0;0
Kelibia;1950000.0;780.0;0;1;0;0;0;0;0;0;0;0
Dar Allouche;63000.0;1000.0;0;1;0;0;0;0;0;0;0;0
Chatt Meriem;197400.0;705.0;0;0;0;0;0;0;0;0;0;0
Kalaa El Kebira;320000.0;16000.0;0;0;0;0;0;100;0;0;0;0
Sidi Bou Ali;3500000.0;60000.0;0;0;0;0;0;0;0;0;0;0
Kalaa El Kebira;329550.0;25352.0;0;1;0;0;0;26;1;0;0;0
Chatt Meriem;122000.0;1931.0;0;0;0;1;0;0;0;0;0;0
Chatt Meriem;64000.0;2912.0;0;0;0;0;0;0;0;0;0;0
Hammamet;125000.0;10000.0;0;0;1;1;0;0;0;0;0;1
Chatt Meriem;170000.0;1124.0;0;1;0;0;0;0;0;0;0;0
Chatt Meriem;579360.0;3621.0;0;0;0;0;0;0;0;0;0;0
Hammam El Gheza;90000.0;1000.0;0;1;0;0;0;0;0;0;0;0
Hammam Jebli;1690000.0;1300.0;0;1;0;0;0;0;0;0;0;0
